Woche,Tag,Wochentag,Mahlzeit,Lebensmittel,Menge,Einheit,Notiz
1,1,Montag,Frühstück,Haferflocken,80,g,
1,1,Montag,Frühstück,Joghurt/Skyr,250,g,Alternative: Soja-Joghurt + extra Protein
1,1,Montag,Frühstück,Beeren,150,g,
1,1,Montag,Frühstück,Chiasamen,1,EL,entspricht ca. 10-15 g
1,1,Montag,Snack,Apfel,1,Stück,
1,1,Montag,Snack,Kürbiskerne,2,EL,Alternativen (statt Kürbiskerne): Mandeln 20-30 g ODER Cashews 20-30 g
1,1,Montag,Snack,Mandeln,20-30,g,Alternative zu Kürbiskernen
1,1,Montag,Snack,Cashews,20-30,g,Alternative zu Kürbiskernen
1,1,Montag,Mittag,Gekochte Linsen,200,g,Linsensalat
1,1,Montag,Mittag,Paprika/Gurke/Tomate,300,g,
1,1,Montag,Mittag,Olivenöl,1,EL,
1,1,Montag,Mittag,Zitronensaft,,,nach Geschmack
1,1,Montag,Mittag,Feta,40,g,optional
1,1,Montag,Abend,Ofenlachs,180,g,
1,1,Montag,Abend,Kartoffeln,300,g,
1,1,Montag,Abend,Brokkoli,250,g,
1,1,Montag,Abend,Olivenöl,1,EL,über Gemüse

1,2,Dienstag,Frühstück,Eier,3,Stück,Omelett oder Rührei
1,2,Dienstag,Frühstück,Spinat,100-150,g,
1,2,Dienstag,Frühstück,Tomaten,,,nach Bedarf
1,2,Dienstag,Frühstück,Vollkornbrot,60-80,g,1 Scheibe
1,2,Dienstag,Snack,Karotten,200,g,
1,2,Dienstag,Snack,Hummus,50-70,g,
1,2,Dienstag,Mittag,Hähnchenbrust,180,g,
1,2,Dienstag,Mittag,Reis (gekocht),200-250,g,
1,2,Dienstag,Mittag,Gemüsepfanne,300,g,z. B. Zucchini + Paprika
1,2,Dienstag,Abend,Quark/Skyr,300,g,
1,2,Dienstag,Abend,Banane,1,Stück,
1,2,Dienstag,Abend,Haferflocken,40,g,
1,2,Dienstag,Abend,Zimt,,,optional (wenn verträglich)

1,3,Mittwoch,Frühstück,Haferflocken,70,g,Overnight Oats
1,3,Mittwoch,Frühstück,Milch/Haferdrink,250,ml,
1,3,Mittwoch,Frühstück,Birne,1,Stück,
1,3,Mittwoch,Frühstück,Leinsamen,1,EL,
1,3,Mittwoch,Snack,Edamame,150,g,Alternative: 1 Proteinshake
1,3,Mittwoch,Mittag,Vollkornnudeln (gekocht),250,g,
1,3,Mittwoch,Mittag,Tomatensauce + Gemüse,300,g,
1,3,Mittwoch,Mittag,Thunfisch,1,Dose,Option A
1,3,Mittwoch,Mittag,Tofu,200,g,Option B
1,3,Mittwoch,Abend,Kidneybohnen,200,g,Chili sin carne
1,3,Mittwoch,Abend,Mais,100,g,
1,3,Mittwoch,Abend,Tomate + Paprika + Zwiebel,300,g,
1,3,Mittwoch,Abend,Naturjoghurt,2-3,EL,optional

